COMB Title,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
HEAD HUNTER,75,48.00,0.00,0.00,0,34,0,15,135609,6.37,95.36%,45.00,149626,6.68
HEADHUNTER: REDEMPTION,62.35000038,39.00,6.37,6.37,0,61,1,140,5779,0.23,46.57%,27.00,18356,0.49
HERDY GERDY,70.09999847,33.00,0.00,0.00,0,14,0,10,52598,1.57,79.87%,23.00,86094,1.97
HEROES OF MIGHT & MAGIC 2,59.40000153,50.00,0.00,0.00,0,12,0,4,36168,1.70,83.62%,40.00,50754,2.03
HIDDEN INVASION,47.59999847,30.00,0.00,0.00,0,34,0,15,21813,0.61,81.81%,25.00,30181,0.75
HIGH HEAT BASEBALL 2002,79.90000153,50.00,0.00,0.00,0,2,0,0,48636,2.41,96.50%,48.00,52220,2.50
HIGH HEAT BASEBALL 2003,83.69999695,49.00,2.41,2.41,0,3,1,3,143942,7.01,98.78%,48.00,147952,7.10
HIGH HEAT BASEBALL 2004,83.04999924,48.00,7.01,9.42,0,10,2,11,155169,7.28,94.36%,41.50,187814,7.71
HIGH ROLLERS CASINO,38.29999924,19.50,0.00,0.00,0,2,0,0,87984,1.71,47.82%,19.50,182788,3.58
HITMAN 2: SILENT ASSASSIN,84.63333384,45.00,0.00,0.00,0,5,0,2,1208732,50.10,81.53%,32.00,1756421,61.45
HITMAN: CONTRACTS,78.40000153,46.50,48.61,48.61,0,15,2,13,381601,17.80,92.38%,41.50,462376,19.26
HOME RUN KING,61.5,33.00,0.00,0.00,0,2,0,1,41035,1.21,76.73%,23.00,69870,1.58
HOT SHOTS GOLF 3,87.09999847,44.00,0.00,0.00,0,3,0,2,361342,13.95,62.96%,28.00,779384,22.16
HOT SHOTS GOLF FORE!,,40.00,13.95,13.95,0,2,1,7,157241,6.22,81.54%,39.00,196567,7.63
HOT WHEELS VELOCITY X,52.09999847,40.00,0.00,0.00,0,8,0,6,251130,9.54,96.13%,38.00,263339,9.92
HOT WHEELS: STUNT TRACK CHALLENG,60.95000076,20.00,4.88,11.57,0,24,2,98,83349,1.64,47.68%,20.00,173694,3.43
HOT WHEELS: WORLD RACE,60.75,40.00,9.54,9.54,0,34,2,52,209829,6.57,86.83%,28.50,256532,7.57
HOUSE OF THE DEAD III,71,50.00,0.00,0.00,0,0,0,1,93548,4.50,62.58%,34.00,209772,7.19
HULK,70.30000051,42.33,0.00,0.00,0,84,0,92,628017,25.73,94.09%,38.00,709065,27.35
HUNTER: REDEEMER,73.69999695,48.00,8.99,8.99,0,33,1,24,79138,2.61,87.26%,31.00,96715,2.99
HUNTER: THE RECKONING,75.65000153,44.50,0.00,0.00,0,35,0,5,246041,10.09,92.16%,31.50,292462,10.95
HUNTER: WAYWARD,68.90000153,34.00,0.00,0.00,0,31,0,50,111682,2.54,83.17%,20.00,155780,3.06
HYPERSONIC XTREME,55.29999924,9.00,0.00,0.00,0,17,0,44,181740,1.72,92.30%,9.00,199287,1.86
ICO,90.80000305,50.00,0.00,0.00,0,5,0,0,129300,5.69,84.18%,36.00,186281,6.75
IHRA DRAG RACING 2,50,16.00,0.00,0.00,0,13,0,11,344459,4.93,76.86%,14.00,470184,6.42
IHRA DRAG RACING 2004,41.20000076,21.00,0.00,0.00,0,6,0,8,101032,1.48,89.22%,15.00,113530,1.66
IHRA PROFESSIONAL DRAG RACING 20,35.60000038,19.00,6.41,6.41,0,7,2,47,39752,0.76,51.07%,19.50,77008,1.49
IKARUGA,85.30000305,41.00,0.00,0.00,0,1,0,1,52163,2.07,91.48%,38.00,59742,2.26
INDIANA JONES & THE EMPEROR'S TO,73.59999847,41.50,0.00,0.00,0,64,0,74,181005,7.42,93.42%,38.50,205171,7.94
INDYCAR SERIES,69.30000305,38.50,0.00,0.00,0,12,0,33,68670,2.51,92.82%,34.00,78098,2.70
INDYCAR SERIES 2005,71.69999695,20.00,0.86,0.86,0,4,1,15,39317,0.79,88.28%,20.00,44461,0.89
I-NINJA,76.30000051,42.33,0.00,0.00,0,42,0,54,220182,5.78,94.21%,25.33,240608,6.13
INTELLIVISION LIVES,60.40000025,18.00,0.00,0.00,0,4,0,8,70248,1.22,74.27%,15.33,105534,1.64
INUYASHA: SECRET,50.09999847,38.00,0.00,0.00,0,20,0,44,81121,3.12,65.15%,36.00,133569,4.78
ISLAND XTREME STUNTS,59,39.00,0.00,0.00,0,15,0,28,30104,0.85,88.96%,27.00,36141,0.96
J.MCGRATH SUPERCROSS,38.40000153,35.00,0.00,0.00,0,6,0,0,34555,1.12,62.59%,23.00,76317,1.79
J.MCGRTH SPRCRSS WRLD,34,50.00,0.00,0.00,0,7,0,3,84123,3.69,94.65%,43.00,91572,3.90
JADE COCOON 2,75.90000153,52.00,0.00,0.00,0,12,0,4,35078,1.44,94.10%,38.00,40649,1.53
JAK 3,,39.00,36.36,71.75,0,25,2,42,567018,22.29,78.52%,39.00,722996,28.39
JAK AND DAXTER:LEGACY,90,50.00,0.00,0.00,0,8,0,1,995657,35.39,72.37%,29.00,1694205,48.90
JAK II,88.30000305,40.00,35.39,35.39,0,16,1,25,1044644,36.36,88.47%,33.00,1264305,41.10
JAMES CAMERON'S DARK ANGEL,52.35000038,49.00,0.00,0.00,0,55,0,17,69009,1.38,77.73%,17.00,104662,1.78
JAMPACK SPRING 2004 T,,5.00,0.84,8.14,1,1,9,9,103023,0.54,82.67%,5.00,135422,0.65
JAMPACK SUMMER 2001,,7.00,0.00,0.00,1,1,0,0,262677,1.83,92.29%,7.00,291760,1.98
JAMPACK SUMMER 2002,,6.00,1.83,3.45,2,2,2,2,188067,1.13,88.13%,6.00,221286,1.28
JAMPACK SUMMER 2003 M,,5.00,1.13,5.89,3,3,5,5,106027,0.57,89.58%,5.00,122285,0.63
JAMPACK SUMMER 2003 T,,5.00,1.13,5.89,3,3,5,5,65307,0.31,90.54%,5.00,75558,0.34
JAMPACK VOLUME 11,,6.00,0.84,8.14,1,1,9,9,66926,0.38,50.12%,5.00,156745,0.75
JAMPACK WINTER 2001,,7.00,0.00,0.00,1,1,0,0,244784,1.62,90.45%,6.00,281011,1.79
JAMPACK WINTER 2002 E,,5.00,1.83,3.45,2,2,2,2,66667,0.32,88.09%,5.00,80189,0.37
JAMPACK WINTER 2002 M,,6.00,1.83,3.45,2,2,2,2,189394,0.99,94.41%,5.00,206130,1.05
JAMPACK WINTER 2003 M,,5.00,1.13,5.89,3,3,5,5,112459,0.53,90.95%,5.00,125385,0.58
JAMPACK WINTER 2003 T,,6.00,1.13,5.89,3,3,5,5,169412,0.84,91.50%,5.00,192110,0.92
JEOPARDY! 2003,60.5,30.00,0.00,0.00,0,1,0,0,130804,3.15,81.26%,23.00,167133,3.88
JET LI: RISE TO HONOR,68,34.00,0.00,0.00,0,40,0,82,393928,13.48,91.37%,32.00,463889,14.75
JET SET RADIO FUTURE,86.40000153,49.00,0.00,0.00,0,10,0,7,88793,4.31,95.77%,44.00,101209,4.50
JET X20,70,38.00,0.00,0.00,0,15,0,28,58953,1.97,78.76%,28.00,88623,2.50
JIMMY NEUTRON BOY GENIUS,53.70000076,35.00,0.00,0.00,0,30,0,10,193113,5.58,92.73%,28.50,214044,6.02
JIMMY NEUTRON BOY GENIUS: ATTACK,67.54999924,19.00,5.77,11.35,0,41,4,77,172960,3.26,69.11%,19.00,248236,4.72
JIMMY NEUTRON: JET FUSION,62.84999847,29.00,5.58,5.58,0,33,2,42,215410,5.77,90.92%,26.00,243077,6.34
JONNY MOSELEY: MAD,46,47.00,0.00,0.00,0,10,0,3,45326,1.50,92.56%,30.00,53931,1.62
JURASSIC PARK: GENESIS,72.70000076,34.00,0.00,0.00,0,6,0,4,123714,3.44,90.93%,29.50,142254,3.79
K-1 WORLD GRAND PRIX,68.40000153,32.00,0.00,0.00,0,8,0,17,28121,0.83,92.06%,28.00,32076,0.90
KABUKI WARRIORS,35,50.00,0.00,0.00,0,1,0,0,27232,0.83,87.59%,26.00,36881,0.95
KAKUTO CHOJIN,52.70000076,49.00,0.00,0.00,0,4,0,2,26553,1.11,97.09%,41.00,27855,1.14
KARAOKE REVOLUTION,81.45000076,50.00,0.00,0.00,4,28,0,22,189638,10.28,84.38%,47.75,229394,12.19
KARAOKE REVOLUTION 2,80,39.00,7.68,8.96,2,13,2,19,67510,2.66,83.20%,39.00,82699,3.20
KARAOKE REVOLUTION 3,84.5,49.00,15.37,17.92,4,26,4,38,87134,4.85,64.80%,49.00,138113,7.49
KATAMARI DAMACY,85.69999695,20.00,0.00,0.00,0,0,0,8,120307,2.37,44.46%,20.00,269523,5.33
KELLY SLATER PRO SURFER,78.06666819,47.00,0.00,0.00,0,37,0,24,149017,5.45,81.97%,30.00,219026,6.65
KENGO: MASTER BUSHIDO,64.80000305,,0.00,0.00,0,3,0,0,90909,2.83,81.29%,28.00,125583,3.49
KESSEN,76.90000153,50.00,0.00,0.00,0,1,0,0,177282,7.36,85.25%,39.00,219763,8.63
KESSEN 2,75,50.00,7.36,7.36,0,0,1,2,64340,3.04,79.37%,37.00,102140,3.83
KILL.SWITCH,76.04999924,49.50,0.00,0.00,0,64,0,74,359412,16.59,93.03%,44.00,406953,17.84
KILLZONE,,49.00,0.00,0.00,0,4,0,28,280359,13.80,77.02%,49.00,366214,17.92
KINETICA,75.80000305,51.00,0.00,0.00,0,23,0,4,105346,4.77,90.32%,41.00,127409,5.29
KING ARTHUR,58.23333359,40.00,0.00,0.00,0,76,0,179,38299,1.52,47.21%,33.00,97651,3.23
KING FIGHTERS 2K/2K1,71.5,40.00,0.00,0.00,0,8,0,17,40805,1.47,97.18%,35.00,42852,1.51
KING OF ROUTE 66,59.40000153,32.00,0.00,0.00,0,17,0,44,23542,0.76,97.54%,32.00,24535,0.78
KINGDOM FIRE:CRUSADER,80.59999847,39.00,0.00,0.00,0,0,0,4,99999,3.90,70.40%,31.00,180945,5.54
KINGDOM HEARTS,86.90000153,49.00,0.00,0.00,0,10,0,17,1663866,73.47,80.88%,37.00,2431766,90.84
KINGS FIELD 4:ANCIENT,56.40000153,49.00,0.00,0.00,0,10,0,17,32458,1.56,88.74%,45.00,38925,1.76
KIRBY AIR RIDE,63.79999924,49.00,0.00,0.00,0,17,0,8,370436,15.68,79.95%,35.00,555833,19.62
KLONOA 2: LUNATEA'S,84.80000305,51.00,0.00,0.00,0,8,0,1,89760,4.39,93.34%,47.00,99476,4.70
KNIGHTS APPRENTICE,58.20000076,19.00,0.00,0.00,0,5,0,15,6320,0.12,69.16%,16.00,10796,0.18
KNOCKOUT KINGS 2001,76.90000153,50.00,0.00,0.00,0,1,0,1,204373,10.20,94.90%,48.00,224681,10.74
KNOCKOUT KINGS 2002,76.54999924,47.50,10.20,10.20,0,4,1,3,378251,16.92,86.11%,38.50,516133,19.65
KNOCKOUT KINGS 2003,81,44.00,0.00,0.00,0,1,0,0,60443,1.61,70.34%,22.00,103363,2.30
KOF: MAXIMUM IMPACT,66.80000305,44.00,1.47,1.47,0,17,1,26,39853,1.75,62.97%,36.00,77610,2.78
KUNG FU CHAOS,75.90000153,34.00,0.00,0.00,0,9,0,7,100357,3.20,79.54%,25.00,163657,4.02
KUON,60.90000153,50.00,0.00,0.00,0,8,0,15,1416,0.07,26.08%,43.00,6328,0.27
KYA: DARK LINEAGE,72.80000305,34.00,0.00,0.00,0,16,0,25,51419,1.11,89.86%,20.00,60815,1.23
LA PUCELLE: TACTICS,80.19999695,45.00,0.00,0.00,0,20,0,44,62307,2.79,93.00%,42.00,72266,3.00
LE MANS 24 HOURS,75.5,37.00,0.00,0.00,0,7,0,3,50541,1.51,78.66%,27.00,71136,1.91
LEGACY OF KAIN: DEFIANCE,77.54999924,49.00,10.34,19.06,0,9,3,25,254210,9.70,92.39%,35.50,297157,10.50
LEGACY OF KAIN: SOUL REAVER 2,80.59999847,50.00,0.00,0.00,0,5,0,0,189317,8.72,92.02%,42.00,223290,9.48
LEGAIA 2: DUEL SAGA,70.5,51.00,0.00,0.00,0,10,0,17,81219,3.66,90.82%,40.00,101746,4.03
LEGEND OF ALON D'AR,39.09999847,52.00,0.00,0.00,0,5,0,0,27462,1.20,94.28%,41.00,31120,1.27
LEGEND OF ZELDA FOUR SWORDS,84.69999695,47.00,68.65,68.65,1,12,1,12,26852,1.25,88.16%,46.00,30575,1.42
LEGENDS OF WRESTLING,60.19999949,43.33,0.00,0.00,2,5,0,0,362739,15.59,92.13%,31.00,453213,16.92
LEGENDS OF WRESTLING 2,62.56666692,49.67,12.87,12.87,2,5,1,2,186891,7.03,82.76%,29.33,274852,8.49
LEGION: EXCALIBUR,56.70000076,44.00,0.00,0.00,0,10,0,17,72026,2.94,90.17%,37.00,87179,3.26
LEGO RACERS 2,65.30000305,40.00,0.00,0.00,0,23,0,4,41984,1.49,87.15%,34.00,50138,1.72
LEGO SOCCER MANIA,58,29.00,0.00,0.00,0,4,0,0,24285,0.66,83.66%,25.00,31727,0.79
LEISURE SUIT LARRY: MAGNA CUM LA,62.80000114,50.00,0.00,0.00,0,2,0,0,156055,7.76,76.09%,48.00,213847,10.20
LEMONY SNICKET'S: A SERIES OF UN,68.36666616,40.67,0.00,0.00,0,53,0,99,331768,13.24,79.78%,37.00,455204,16.59
LETHAL SKIES,66,40.00,0.00,0.00,0,1,0,4,56239,1.80,75.76%,27.00,88139,2.37
LETHAL SKIES II,73.90000153,34.00,1.80,1.80,0,2,1,6,58572,1.77,94.29%,29.00,64451,1.87
LIFE LINE,64,34.00,0.00,0.00,0,8,0,15,17684,0.60,89.57%,30.00,22259,0.67
LINKS 2004,83.09999847,47.00,0.00,0.00,0,1,0,3,149420,5.46,92.79%,35.00,166208,5.88
LOONEY TUNES: BACK IN ACTION,62.54999924,40.00,0.00,0.00,0,33,0,42,253542,6.20,87.28%,23.50,300003,7.11
LOONS: FIGHT FOR FAME,49.90000153,38.00,0.00,0.00,0,1,0,1,32908,0.98,82.01%,28.00,43129,1.19
LORD OF THE RINGS,62.25,47.50,0.00,0.00,2,55,0,17,609183,21.78,90.42%,32.50,744669,24.09
LORD OF THE RINGS: RETURN OF THE,84.93333435,49.00,77.77,99.56,0,84,5,92,1847999,79.11,93.69%,40.00,2085131,84.43
LORD OF THE RINGS: THE THIRD AGE,75.13333384,49.00,79.11,178.66,0,40,8,70,471195,23.24,78.55%,43.00,685914,29.59
LORD OF THE RINGS: TWO TOWERS,80.13333384,50.00,0.00,0.00,2,69,0,20,1679857,77.77,87.50%,38.33,2200105,88.89
LOST KINGDOMS,71.19999695,49.00,0.00,0.00,0,4,0,0,66027,3.03,92.34%,42.00,78783,3.29
LOST KINGDOMS II,70,43.00,3.03,3.03,0,6,1,5,28197,1.11,88.04%,35.00,35747,1.26
LOTUS CHALLENGE,37.5,20.00,0.00,0.00,0,3,0,26,5174,0.10,66.62%,19.00,7910,0.15
LOWRIDER,42.09999847,39.00,0.00,0.00,0,10,0,8,69521,2.27,83.51%,30.00,90714,2.72
LUIGI'S MANSION,79.59999847,50.00,0.00,0.00,0,0,0,0,816090,40.32,68.01%,34.00,1718470,59.28
LUPIN 3RD: TREASURE,66.30000305,38.00,0.00,0.00,0,8,0,9,13285,0.51,91.09%,37.00,15172,0.55
M.T. LOTUS CHALLENGE,57.79999924,32.00,0.00,0.00,0,20,0,15,9633,0.26,74.99%,21.00,16515,0.35
MACE GRIFFIN BOUNTY HUNTER,67.29999924,32.50,0.00,0.00,0,18,0,27,84323,2.23,85.21%,22.00,119952,2.62
MAD DASH RACING,67.40000153,50.00,0.00,0.00,0,2,0,0,74433,3.39,93.74%,43.00,84840,3.62
MAD MAESTRO!,69.69999695,23.00,0.00,0.00,0,4,0,3,13326,0.26,72.55%,14.00,24571,0.36
MADDEN NFL 2001,89.5,50.00,0.00,0.00,0,2,0,0,852856,42.32,91.45%,49.00,938171,46.27
MADDEN NFL 2002,89.69999949,50.00,42.32,42.32,0,7,1,3,2590561,125.26,94.72%,45.00,2813658,132.24
MADDEN NFL 2003,90.30000051,46.33,125.26,167.58,0,21,4,13,3337250,158.89,95.93%,43.00,3529214,165.63
MADDEN NFL 2004,90.09999847,49.00,158.89,326.47,0,12,7,37,4405367,215.01,97.07%,48.00,4570858,221.50
MADDEN NFL 2005,90,44.25,378.17,966.85,2,17,14,76,4699704,194.45,92.67%,43.25,5233850,209.84
MAFIA,66.60000229,45.00,0.00,0.00,0,3,0,9,341478,15.71,94.96%,41.50,385833,16.55
MAGIC PENGEL: COLOR,76.09999847,35.00,0.00,0.00,0,15,0,28,23104,0.74,85.70%,29.00,29546,0.86
MAGIC THE GATHERING: BATTLEGROUN,71.19999695,45.00,0.00,0.00,0,2,0,1,62888,1.90,85.19%,26.00,84588,2.23
MALICE,49.20000076,26.00,0.00,0.00,0,37,0,64,7844,0.21,72.03%,19.00,14929,0.29
MANHUNT,76.20000076,45.00,0.00,0.00,0,11,0,8,518869,23.00,93.55%,39.50,585708,24.58
MARCH MADNESS 2002,57.90000153,45.00,0.00,0.00,0,10,0,8,152793,6.84,95.63%,42.00,170742,7.16
MARIO GOLF: TOADSTOOL,81.59999847,49.00,58.14,136.61,2,1,3,3,427791,17.72,76.71%,34.00,671375,23.09
MARIO KART: DOUBLE,87.80000305,49.00,58.14,136.61,2,17,3,8,1770800,87.05,93.01%,49.00,1903950,93.60
MARIO PARTY 4,73.59999847,50.00,40.32,40.32,1,2,1,1,840201,38.15,88.08%,44.00,977513,43.31
MARIO PARTY 5,69,49.00,58.14,136.61,2,3,3,4,785290,38.48,94.48%,49.00,831271,40.73
MARIO PARTY 6 W/MIC,70.59999847,49.00,87.05,279.86,2,2,6,8,469014,22.97,66.11%,49.00,706706,34.75
MARIO POWER TENNIS,81.80000305,49.00,87.05,279.86,2,0,6,1,296893,14.52,70.40%,49.00,420231,20.62
MARK DAVIS PRO BASS,,10.00,0.00,0.00,0,2,0,4,53110,0.50,78.64%,9.00,67851,0.64
MARVEL VS. CAPCOM 2,70.89999771,40.00,0.00,0.00,0,18,0,14,294423,11.70,92.01%,40.00,321333,12.71
MARY KATE & ASHLEY: SWEET 16,52.25,49.00,0.00,0.00,0,8,0,0,164732,4.92,82.28%,28.00,228087,5.98
MATT HOFFMAN'S PRO BMX 2,74.73333232,39.67,0.00,0.00,0,37,0,24,197345,6.40,78.29%,24.00,312487,8.18
MAX PAYNE,82.14999771,50.50,0.00,0.00,0,5,0,1,1584061,71.25,83.18%,37.50,2341648,85.65
MAX PAYNE 2: THE FALL OF MAX PAY,81.34999847,50.00,71.25,71.25,0,3,2,13,677554,29.02,95.14%,40.00,765860,30.50
MAXIMO VS ARMY OF ZIN,83,33.00,8.50,8.50,0,40,1,82,60936,2.02,90.32%,31.00,73100,2.24
MAXIMO:GHOST TO GLORY,84.5,39.00,0.00,0.00,0,34,0,15,219983,8.50,87.23%,34.00,290584,9.75
MAXIMUM CHASE,54.40000153,34.00,0.00,0.00,0,6,0,8,25643,0.47,78.22%,15.00,40459,0.60
MC GROOVZ W/BEAT PAD,51,50.00,0.00,0.00,0,1,0,0,48290,2.42,55.49%,48.00,90228,4.36
MCFARLANES EVIL PRPCY,32.29999924,36.00,0.00,0.00,0,40,0,82,18029,0.64,84.01%,31.00,24218,0.76
MDK 2,81.5,39.00,0.00,0.00,0,14,0,0,41678,1.48,77.29%,28.00,68833,1.91
MECH ASSAULT,86.90000153,49.00,0.00,0.00,0,5,0,1,485839,21.30,81.71%,36.00,727363,26.07
MECH ASSAULT 2: LONE WOLF,81.19999695,49.50,42.61,42.61,2,6,2,16,91917,4.56,35.32%,47.00,276415,12.91
MEDABOTS: INFINITY,39.20000076,32.00,0.00,0.00,0,6,0,5,28098,0.68,88.58%,22.00,34025,0.76
MEDAL OF HONOR: FRONTLINE,81.13333639,50.00,0.00,0.00,0,21,0,11,2360169,106.85,81.99%,35.33,3442870,130.31
MEDAL OF HONOR: RISING SUN,67.19999822,49.00,123.92,106.85,0,20,3,35,2046389,88.01,93.78%,39.33,2323060,93.85
MEGA MAN ANNIVERSARY COLLECTION,81.79999924,30.00,9.11,9.11,3,41,2,77,392133,11.58,91.59%,29.00,429011,12.65
MEGA MAN NETWORK TRAN,66.19999695,40.00,0.00,0.00,0,17,0,17,92286,3.49,92.14%,36.00,105857,3.79
MEGA MAN X: COMMAND MISSION,69.25,40.00,9.11,9.11,3,32,2,56,83333,3.36,74.46%,35.00,128811,4.52
MEGA MAN X7,57,39.00,0.00,0.00,0,31,0,50,154536,5.62,92.26%,35.00,173462,6.10
MEGA MAN X8,69.30000305,37.00,5.62,5.62,2,40,1,82,39159,1.46,50.56%,31.00,93527,2.88
MEN IN BLACK 2: ALIEN ESCAPE,49.25,19.50,0.00,0.00,0,54,0,33,176155,4.06,91.93%,19.00,198341,4.42
MEN OF VALOR,73.5,48.00,0.00,0.00,0,11,0,19,80142,3.81,75.98%,43.00,116223,5.02
MERCEDES WORLD RACING,64.19999695,35.00,0.00,0.00,0,20,0,15,27621,0.92,82.09%,29.00,38444,1.12
METAL ARMS GLITCH IN THE SYSTEM,82.16666667,48.67,0.00,0.00,0,84,0,92,206738,6.59,86.70%,27.33,284371,7.60
METAL DUNGEON,45,50.00,0.00,0.00,0,4,0,0,12821,0.61,88.98%,41.00,16796,0.69
METAL GEAR SOLID,,49.00,0.00,0.00,0,1,0,0,1741298,77.86,92.80%,42.00,2014369,83.90
METAL GEAR SOLID 2,85.84999847,42.00,77.86,77.86,0,6,1,4,393427,14.46,94.63%,35.00,449332,15.28
METAL GEAR:TWIN SNAKE,85.30000305,38.00,0.00,0.00,0,3,0,3,215051,8.08,91.53%,35.00,252862,8.83
METAL GEAR3:SNAKE EAT,92.40000153,49.00,5.17,83.03,0,8,2,9,777261,38.03,83.43%,47.00,964712,45.58
METAL SLUG 3,76,39.00,0.00,0.00,0,12,0,22,57101,2.25,95.24%,39.00,60497,2.36
METROID PRIME,96.30000305,49.00,0.00,0.00,2,14,0,0,1039491,45.49,88.45%,31.50,1308054,51.43
METROID PRIME 2: ECHO,91.90000153,48.00,45.49,45.49,0,3,2,11,462424,22.07,86.51%,48.00,535787,25.51
METROPOLISMANIA,67.5,20.00,0.00,0.00,0,0,0,2,15964,0.27,55.34%,14.00,33829,0.49
MICRO MACHINES,63.40000153,11.00,0.00,0.00,0,17,0,44,50580,0.55,92.01%,11.00,55949,0.59
MIDNIGHT CLUB,76.90000153,49.00,0.00,0.00,0,3,0,0,364780,17.42,40.56%,27.00,1563065,42.95
MIDNIGHT CLUB 2,86.34999847,48.00,17.42,17.42,0,37,1,59,902040,39.57,84.01%,36.50,1264993,47.10
MIDTOWN MADNESS 3,79.30000305,42.00,0.00,0.00,0,20,0,15,133736,4.71,85.25%,31.00,178437,5.53
MIDWAY ARCADE TREASURES,75.33333333,21.00,0.00,0.00,0,2,0,5,741344,14.76,85.89%,19.67,899604,17.19
MIDWAY ARCADE TREASURES 2,73.19999949,19.33,14.76,14.76,0,5,3,10,301873,5.84,62.75%,19.33,480972,9.31
MIKE TYSON BOXING,47.34999847,46.00,0.00,0.00,0,4,0,3,64357,2.57,83.26%,35.00,89387,3.08
MINORITY REPORT,53.4666659,41.33,0.00,0.00,0,69,0,20,222491,5.72,88.95%,22.67,277527,6.43
MISSION IMPOSSIBLE: OPERATION SU,65.46666718,47.50,0.00,0.00,0,6,0,7,166982,5.23,96.02%,28.00,181569,5.45
MISTER MOSQUITO,66.40000153,41.00,0.00,0.00,0,34,0,15,36848,1.48,92.03%,37.00,42879,1.60
MLB 2004,65.19999695,40.00,0.00,0.00,0,5,0,7,250458,10.00,96.86%,39.00,262105,10.33
MLB 2005,79.19999695,39.00,10.00,10.00,0,4,1,13,331044,13.07,95.24%,39.00,351559,13.73
MLB INSIDE PITCH 2003,60.59999847,38.00,0.00,0.00,0,5,0,4,56834,2.03,91.66%,32.00,68255,2.22
MLB SLUGFEST 20-03,81.30000051,46.33,0.00,0.00,0,8,0,4,479725,21.27,93.87%,35.67,549105,22.66
MLB SLUGFEST 20-04,78.93333181,39.67,21.27,21.27,0,11,3,15,266920,10.97,95.08%,36.67,292318,11.54
MLB SLUGFEST LOADED,78.34999847,36.50,10.09,29.17,0,7,4,23,133850,4.89,90.51%,34.50,157590,5.41
MOBILE LIGHT FORCE 2,55.59999847,11.00,0.00,0.00,0,31,0,50,28356,0.29,76.75%,9.00,42416,0.38
MOJO,66.29999924,13.50,0.00,0.00,0,2,0,9,51603,0.50,78.20%,10.00,69319,0.64
MONOPOLY PARTY,57.90000025,33.00,0.00,0.00,0,0,0,0,239520,6.31,69.26%,24.00,382391,9.11
MONSTER 4X4: MASTERS OF METAL,47.39999962,30.00,0.00,0.00,0,11,0,16,131550,3.72,93.67%,28.50,141882,3.97
MONSTER GARAGE,33.29999924,28.00,0.00,0.00,0,1,0,5,16802,0.47,62.20%,24.00,31888,0.75
MONSTER HUNTER,69,49.00,0.00,0.00,0,20,0,44,50234,2.48,74.62%,43.00,77319,3.32
MONSTER JAM MAXIMUM DESTRUCTION,43.25,35.50,0.00,0.00,0,8,0,6,172019,4.27,67.35%,20.50,280882,6.34
MONSTER RANCHER 3,76.09999847,50.00,0.00,0.00,0,0,0,1,64080,2.97,79.44%,42.00,88482,3.73
MONSTER RANCHER 4,77,50.00,2.97,2.97,0,3,1,3,51924,2.48,90.42%,46.00,59568,2.74
MONSTERS INC.,48.60000038,37.00,0.00,0.00,0,16,0,10,238083,7.97,79.81%,31.00,342625,9.98
MORTAL COMBAT: DEADLY,82.80000051,49.00,0.00,0.00,0,18,0,10,1655594,73.65,85.73%,37.33,2272852,85.91
MORTAL KOMBAT: DECEPTION,81.34999847,51.00,65.14,65.14,0,25,2,43,786740,39.90,85.18%,48.50,963338,46.85
MOTO GP,82.04999924,49.00,0.00,0.00,0,6,0,3,93692,4.60,90.02%,47.00,108609,5.11
MOTO GP 2,82.75,47.00,4.60,4.60,0,19,2,19,95340,4.43,89.94%,42.50,116254,4.92
MOTO GP 3,77.90000153,47.00,1.88,4.04,0,6,2,25,44823,2.08,94.33%,46.00,48328,2.21
MOTOR MAYHEM,65.5,28.00,0.00,0.00,0,4,0,1,40234,0.97,72.81%,21.00,62947,1.33
MTV MUSIC GENERATOR 2,79.5,50.00,0.00,0.00,0,2,0,0,45676,2.20,82.70%,43.00,62207,2.66
MTV MUSIC GENERATOR 3 THIS IS TH,78.64999771,30.00,2.20,2.20,0,17,1,22,81695,2.43,88.31%,29.00,93565,2.75
MTX MOTOTRAX,76.60000229,35.00,0.00,0.00,0,4,0,60,116379,4.04,86.11%,32.00,150650,4.69
MUPPETS PARTY CRUISE,65.25,20.00,0.00,0.00,0,5,0,6,30934,0.60,87.58%,19.00,36236,0.69
MURAKUMO: RENEGADE,51.5,29.00,0.00,0.00,0,0,0,7,28720,0.82,91.79%,27.00,32883,0.89
MUSIC MAKER,72,10.00,0.00,0.00,0,10,0,8,99186,0.97,83.35%,9.00,123017,1.16
MUSIC MIXER,57.5,39.00,0.00,0.00,0,2,0,0,162002,4.89,85.76%,28.00,201158,5.71
MVP BASEBALL 2003,81.94999695,47.00,0.00,0.00,0,10,0,11,480636,22.43,96.62%,43.50,519825,23.22
MVP BASEBALL 2004,87.86666616,46.00,22.43,22.43,0,7,2,29,1303258,60.64,97.95%,44.33,1375878,61.90
MX 2002 WITH CARMICHAEL,74.45000076,50.50,0.00,0.00,0,13,0,3,267459,13.17,92.46%,48.00,293670,14.24
MX RIDER,72.5,49.00,0.00,0.00,0,10,0,3,81625,2.52,69.86%,27.00,134590,3.60
